game_date,game_pk,pitcher_id,player,team,opponent,Lineup_Source,Lineup_Confirmed,Lineup_Batters,Lineup_Hash,Lineup_Captured_At_UTC,Game_Time_UTC,Resolved_At_UTC,Lineage,Outcome_Lineage,Authentic_Pregame_Pair,Prior_Paired_Starts,OOS_Eligible,Preconfirm_Projection,Confirmed_Projection,Projection_Delta,Opponent_K_Delta,Projection_Delta_Direction,Projection_Delta_Band,Data_Quality,Quality_Band,Starter_History_Games,Starter_History_Band,Actual_Strikeouts,Preconfirm_Absolute_Error,Confirmed_Absolute_Error,Preconfirm_Error,Confirmed_Error,Confirmed_Win,Confirmed_Loss,Report_Only,Production_Authority,Validation_Version
2026-08-10,823998,669022,MacKenzie Gore,TEX,LAA,nan,False,,nan,,2026-08-11 01:38:00+00:00,2026-08-12 04:28:05.378738+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.624407650667284,,,UNKNOWN,UNKNOWN,70,70–79,,UNKNOWN,9.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,823998,672282,Reid Detmers,LAA,TEX,nan,False,,nan,,2026-08-11 01:38:00+00:00,2026-08-12 04:28:05.397568+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.557311396164571,,,UNKNOWN,UNKNOWN,70,70–79,,UNKNOWN,6.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,825048,687312,Gabriel Hughes,COL,ARI,nan,False,,nan,,2026-08-11 01:40:00+00:00,2026-08-12 04:28:05.470936+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.250276943021297,,,UNKNOWN,UNKNOWN,44,<60,,UNKNOWN,3.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,825048,647336,Michael Soroka,ARI,COL,nan,False,,nan,,2026-08-11 01:40:00+00:00,2026-08-12 04:28:05.487830+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.371681731681046,,,UNKNOWN,UNKNOWN,58,<60,,UNKNOWN,4.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,824969,642547,Freddy Peralta,TBR,ATH,nan,False,,nan,,2026-08-11 01:40:00+00:00,2026-08-12 04:28:05.505597+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.938676905318523,,,UNKNOWN,UNKNOWN,70,70–79,,UNKNOWN,5.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,824969,682052,Jacob Lopez,ATH,TBR,nan,False,,nan,,2026-08-11 01:40:00+00:00,2026-08-12 04:28:05.521955+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.5054350900288185,,,UNKNOWN,UNKNOWN,62,60–69,,UNKNOWN,5.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,823265,701656,Logan Henderson,MIL,SDP,nan,False,,nan,,2026-08-11 01:40:00+00:00,2026-08-12 04:28:05.602452+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.815127024768502,,,UNKNOWN,UNKNOWN,50,<60,,UNKNOWN,7.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,823265,663554,Casey Mize,SDP,MIL,nan,False,,nan,,2026-08-11 01:40:00+00:00,2026-08-12 04:28:05.618765+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.608395848331307,,,UNKNOWN,UNKNOWN,60,60–69,,UNKNOWN,6.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,823189,669713,Hayden Wesneski,HOU,SFG,nan,False,,nan,,2026-08-11 01:45:00+00:00,2026-08-12 04:28:05.636617+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.911773508299721,,,UNKNOWN,UNKNOWN,38,<60,,UNKNOWN,4.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,823189,694918,Blade Tidwell,SFG,HOU,nan,False,,nan,,2026-08-11 01:45:00+00:00,2026-08-12 04:28:05.652669+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,3.187077197930339,,,UNKNOWN,UNKNOWN,48,<60,,UNKNOWN,6.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,823918,702070,Noah Cameron,KCR,LAD,nan,False,,nan,,2026-08-11 02:10:00+00:00,2026-08-12 04:28:05.759595+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.275654789183879,,,UNKNOWN,UNKNOWN,68,60–69,,UNKNOWN,2.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,823918,669373,Tarik Skubal,LAD,KCR,nan,False,,nan,,2026-08-11 02:10:00+00:00,2026-08-12 04:28:05.777624+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,6.185242893148338,,,UNKNOWN,UNKNOWN,60,60–69,,UNKNOWN,6.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,824240,676440,Tanner Bibee,CLE,DET,nan,False,,nan,,2026-08-11 22:40:00+00:00,2026-08-12 04:28:05.797368+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.134631083279752,,,UNKNOWN,UNKNOWN,70,70–79,,UNKNOWN,4.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,824240,623454,Drew Anderson,DET,CLE,nan,False,,nan,,2026-08-11 22:40:00+00:00,2026-08-12 04:28:05.813648+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,3.35646337935976,,,UNKNOWN,UNKNOWN,70,70–79,,UNKNOWN,4.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,823832,694973,Paul Skenes,PIT,MIA,nan,False,,nan,,2026-08-11 22:40:00+00:00,2026-08-12 04:28:05.829637+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.565366740682601,,,UNKNOWN,UNKNOWN,70,70–79,,UNKNOWN,4.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,823832,691587,Eury Pérez,MIA,PIT,nan,False,,nan,,2026-08-11 22:40:00+00:00,2026-08-12 04:28:05.843369+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.570617218065954,,,UNKNOWN,UNKNOWN,65,60–69,,UNKNOWN,7.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,822697,684007,Shota Imanaga,CHC,WSH,nan,False,,nan,,2026-08-11 22:45:00+00:00,2026-08-12 04:28:05.864348+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.369257278293896,,,UNKNOWN,UNKNOWN,70,70–79,,UNKNOWN,5.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,823512,693433,Bryan Woo,SEA,NYY,nan,False,,nan,,2026-08-11 23:05:00+00:00,2026-08-12 04:28:05.881554+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.604753832221759,,,UNKNOWN,UNKNOWN,68,60–69,,UNKNOWN,5.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,823512,677960,Ryan Weathers,NYY,SEA,nan,False,,nan,,2026-08-11 23:05:00+00:00,2026-08-12 04:28:05.897484+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.398651148678238,,,UNKNOWN,UNKNOWN,68,60–69,,UNKNOWN,4.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,822778,663776,Patrick Sandoval,BOS,TOR,nan,False,,nan,,2026-08-11 23:07:00+00:00,2026-08-12 04:28:05.914889+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.512835664969336,,,UNKNOWN,UNKNOWN,42,<60,,UNKNOWN,4.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,822778,656302,Dylan Cease,TOR,BOS,nan,False,,nan,,2026-08-11 23:07:00+00:00,2026-08-12 04:28:05.930629+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,6.020519152690206,,,UNKNOWN,UNKNOWN,66,60–69,,UNKNOWN,7.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,824886,690997,Nolan McLean,NYM,ATL,nan,False,,nan,,2026-08-11 23:15:00+00:00,2026-08-12 04:28:05.948644+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.932857894422856,,,UNKNOWN,UNKNOWN,70,70–79,,UNKNOWN,3.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,824886,527048,Martín Pérez,ATL,NYM,nan,False,,nan,,2026-08-11 23:15:00+00:00,2026-08-12 04:28:05.963162+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.516421351067269,,,UNKNOWN,UNKNOWN,68,60–69,,UNKNOWN,2.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,823673,687064,Brandon Young,BAL,MIN,nan,False,,nan,,2026-08-11 23:40:00+00:00,2026-08-12 04:28:05.980440+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.097481941442961,,,UNKNOWN,UNKNOWN,64,60–69,,UNKNOWN,4.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,823673,641927,Bailey Ober,MIN,BAL,nan,False,,nan,,2026-08-11 23:40:00+00:00,2026-08-12 04:28:05.996823+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.031739108565367,,,UNKNOWN,UNKNOWN,60,60–69,,UNKNOWN,4.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,824563,666157,Nick Lodolo,CIN,CHW,nan,False,,nan,,2026-08-11 23:40:00+00:00,2026-08-12 04:28:06.014936+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.892033286676742,,,UNKNOWN,UNKNOWN,53,<60,,UNKNOWN,5.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,824563,680732,Sean Burke,CHW,CIN,nan,False,,nan,,2026-08-11 23:40:00+00:00,2026-08-12 04:28:06.030796+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.54206809824856,,,UNKNOWN,UNKNOWN,70,70–79,,UNKNOWN,8.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,823019,650911,Cristopher Sánchez,PHI,STL,nan,False,,nan,,2026-08-11 23:45:00+00:00,2026-08-12 04:28:06.049845+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.993765294964918,,,UNKNOWN,UNKNOWN,70,70–79,,UNKNOWN,7.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,823019,669467,Andre Pallante,STL,PHI,nan,False,,nan,,2026-08-11 23:45:00+00:00,2026-08-12 04:28:06.065396+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.772274938011833,,,UNKNOWN,UNKNOWN,68,60–69,,UNKNOWN,2.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,823997,674003,Cody Bradford,TEX,LAA,nan,False,,nan,,2026-08-12 01:38:00+00:00,2026-08-12 04:28:06.082173+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.081014483057965,,,UNKNOWN,UNKNOWN,36,<60,,UNKNOWN,1.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,823997,696270,Ryan Johnson,LAA,TEX,nan,False,,nan,,2026-08-12 01:38:00+00:00,2026-08-12 04:28:06.097024+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.353969161672282,,,UNKNOWN,UNKNOWN,54,<60,,UNKNOWN,5.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,825046,608372,Tomoyuki Sugano,COL,ARI,nan,False,,nan,,2026-08-12 01:40:00+00:00,2026-08-12 04:28:06.113215+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.555952105178284,,,UNKNOWN,UNKNOWN,65,60–69,,UNKNOWN,5.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,825046,683352,Mitch Bratt,ARI,COL,nan,False,,nan,,2026-08-12 01:40:00+00:00,2026-08-12 04:28:06.128347+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.988444123865955,,,UNKNOWN,UNKNOWN,44,<60,,UNKNOWN,4.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-11,824970,607259,Nick Martinez,TBR,ATH,nan,False,,nan,,2026-08-12 01:40:00+00:00,2026-08-12 04:28:06.145843+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.81868020440344,,,UNKNOWN,UNKNOWN,68,60–69,,UNKNOWN,5.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
